Column1,sample,shannon,Tube.number,Drought..1.,N.dep..2.,Temp..3.,Microplastic..4.,Glyphosate..5.,Antibiotics.oxytetra..6.,Fungicide..7.,Cu..8.,Salinity..9.,Insect.imidacloprid..10.,remark,Lv,WSA,wdpt.sec.,Percent.decomposition,CO2_ppm_ThirdWeek,Rich.ASV,Comm.Comp1,Comm.Disp,Ascomycota,Basidiomycota,Mucoromycota,Mortierellomycota,others,Accession
16,2,3.455187917,2,0,0,0,0,0,0,0,0,0,0,Control,0,56.723,0.5,81.769,12692,43,-0.129,0.446,0.48,0.393,0.107,0.013,0.007,SRR28741861
24,3,3.449586899,3,0,0,0,0,0,0,0,0,0,0,Control,0,55.967,0.75,40.483,6179,30,-0.023,0.308,0.36,0.313,0.247,0.06,0.02,SRR28741860
44,6,3.471285002,6,0,0,0,0,0,0,0,0,0,0,Control,0,57.143,1,60.5,11189,37,-0.095,0.295,0.387,0.387,0.18,0.047,0,SRR28741849
57,8,3.410871023,8,0,0,0,0,0,0,0,0,0,0,Control,0,48.498,1,41.337,9519,28,-0.022,0.41,0.373,0.473,0.147,0.007,0,SRR28741838
1,11,3.416135529,11,0,0,0,0,0,0,0,0,0,0,Control,0,68.776,0.75,61.681,11356,24,-0.055,0.441,0.16,0.52,0.3,0.02,0,SRR28741827
2,12,3.47842253,12,0,0,0,0,0,0,0,0,0,0,Control,0,55.602,0.5,46.767,6847,17,0.031,0.475,0.253,0.46,0.24,0.033,0.013,SRR28741816
12,13,3.575790787,13,0,0,0,0,0,0,0,0,0,0,Control,0,60.408,0.5,68.145,12859,34,-0.253,0.547,0.607,0.32,0.053,0.02,0,SRR28741805
14,14,3.454993221,14,0,0,0,0,0,0,0,0,0,0,Control,0,66.803,1,31.218,8350,38,-0.043,0.515,0.307,0.547,0.113,0.02,0.013,SRR28741794
15,16,3.477011196,16,0,0,0,0,0,0,0,0,0,0,Control,0,59.35,4,38.117,8684,54,-0.12,0.387,0.667,0.18,0.087,0.047,0.02,SRR28741793
17,20,3.464647233,20,0,0,0,0,0,0,0,0,0,0,Control,0,58.964,1,65.674,14362,32,-0.142,0.33,0.473,0.373,0.107,0.047,0,SRR28741792
18,21,3.537499874,21,1,0,0,0,0,0,0,0,0,0,Drought,1,48.511,2.5,43.455,6680,37,-0.06,0.226,0.48,0.193,0.307,0.02,0,SRR28741859
19,23,3.515968276,23,1,0,0,0,0,0,0,0,0,0,Drought,1,56.198,5,40.358,6012,37,-0.099,0.262,0.567,0.167,0.213,0.053,0,SRR28741858
20,25,3.530094248,25,1,0,0,0,0,0,0,0,0,0,Drought,1,54.202,3.33,55.595,4676,39,-0.046,0.306,0.373,0.313,0.273,0.04,0,SRR28741857
21,26,3.485599887,26,1,0,0,0,0,0,0,0,0,0,Drought,1,54.4,2,41.299,8350,39,-0.052,0.26,0.433,0.28,0.26,0.02,0.007,SRR28741856
22,28,3.570069171,28,1,0,0,0,0,0,0,0,0,0,Drought,1,52.301,3,42.367,8851,26,-0.169,0.429,0.493,0.053,0.16,0.293,0,SRR28741855
23,29,3.556126435,29,0,1,0,0,0,0,0,0,0,0,Nitrogen deposition,1,57.025,0.5,88.524,8517,29,-0.022,0.258,0.307,0.293,0.367,0.027,0.007,SRR28741854
25,30,3.620698916,30,0,1,0,0,0,0,0,0,0,0,Nitrogen deposition,1,64.159,1,81.096,7682,21,-0.09,0.15,0.427,0.267,0.3,0.007,0,SRR28741853
26,32,3.510451369,32,0,1,0,0,0,0,0,0,0,0,Nitrogen deposition,1,69.264,0.5,83.553,11857,23,-0.013,0.308,0.273,0.18,0.52,0.02,0.007,SRR28741852
27,33,3.571331038,33,0,1,0,0,0,0,0,0,0,0,Nitrogen deposition,1,66.805,0.5,83.809,10020,26,-0.067,0.1,0.453,0.207,0.313,0.02,0.007,SRR28741851
28,34,3.628207094,34,0,1,0,0,0,0,0,0,0,0,Nitrogen deposition,1,67.22,0.5,100,6179,26,-0.037,0.211,0.367,0.167,0.44,0.027,0,SRR28741850
29,37,3.394953991,37,0,0,1,0,0,0,0,0,0,0,Warming,1,58.268,0.5,83.631,9352,30,-0.236,0.185,0.773,0.1,0.107,0.02,0,SRR28741848
30,41,3.48731557,41,0,0,1,0,0,0,0,0,0,0,Warming,1,57.021,1,76.053,10187,19,-0.388,0.41,0.873,0.06,0.06,0,0.007,SRR28741847
31,42,3.485319296,42,0,0,1,0,0,0,0,0,0,0,Warming,1,55.212,1,82.329,13026,27,-0.151,0.216,0.607,0.173,0.193,0.013,0.013,SRR28741846
32,43,3.393930845,43,0,0,1,0,0,0,0,0,0,0,Warming,1,61.134,0.5,59.138,12859,34,-0.25,0.404,0.547,0.287,0.093,0.033,0.04,SRR28741845
33,44,3.392720279,44,0,0,1,0,0,0,0,0,0,0,Warming,1,53.086,0.5,43.275,17535,17,-0.215,0.254,0.707,0.127,0.14,0,0.027,SRR28741844
34,45,3.352732089,45,0,0,0,1,0,0,0,0,0,0,Microplastics,1,48.971,1,53.707,9853,45,-0.063,0.302,0.42,0.287,0.207,0.08,0.007,SRR28741843
35,48,3.520704503,48,0,0,0,1,0,0,0,0,0,0,Microplastics,1,71.605,0.5,29.722,7014,23,-0.075,0.5,0.1,0.633,0.24,0.027,0,SRR28741842
36,50,3.525952774,50,0,0,0,1,0,0,0,0,0,0,Microplastics,1,61.57,0.5,25.892,14028,51,-0.041,0.232,0.493,0.2,0.26,0.033,0.013,SRR28741841
37,51,3.499136904,51,0,0,0,1,0,0,0,0,0,0,Microplastics,1,63.83,1,23.657,7849,30,-0.213,0.583,0.207,0.667,0.113,0.007,0.007,SRR28741840
38,52,3.519758315,52,0,0,0,1,0,0,0,0,0,0,Microplastics,1,72,1,62.687,13694,44,-0.046,0.227,0.4,0.273,0.227,0.093,0.007,SRR28741839
39,53,3.569307081,53,0,0,0,0,1,0,0,0,0,0,Herbicide,1,66.807,1,57.56,4509,14,-0.154,0.588,0.14,0.673,0.107,0.08,0,SRR28741837
40,56,3.509121958,56,0,0,0,0,1,0,0,0,0,0,Herbicide,1,68.511,1,51.901,13527,34,-0.062,0.289,0.393,0.38,0.213,0.013,0,SRR28741836
41,57,3.496801507,57,0,0,0,0,1,0,0,0,0,0,Herbicide,1,66.063,1,73.582,8684,35,-0.059,0.388,0.327,0.493,0.133,0.047,0,SRR28741835
42,58,3.56634923,58,0,0,0,0,1,0,0,0,0,0,Herbicide,1,66.667,2,57.262,7348,53,-0.036,0.302,0.453,0.233,0.24,0.06,0.013,SRR28741834
43,59,3.491462841,59,0,0,0,0,1,0,0,0,0,0,Herbicide,1,59.227,0.75,43.834,8350,38,-0.04,0.304,0.447,0.367,0.147,0.04,0,SRR28741833
45,61,3.473396688,61,0,0,0,0,0,1,0,0,0,0,Antibiotics,1,62.551,1,57.898,6012,35,-0.081,0.29,0.487,0.26,0.24,0.013,0,SRR28741832
46,62,3.425335134,62,0,0,0,0,0,1,0,0,0,0,Antibiotics,1,57.769,1,37.575,8684,33,-0.089,0.337,0.4,0.333,0.26,0.007,0,SRR28741831
47,64,3.546013697,64,0,0,0,0,0,1,0,0,0,0,Antibiotics,1,60.426,1,51.763,8350,23,-0.028,0.295,0.427,0.233,0.307,0.033,0,SRR28741830
48,65,3.449683863,65,0,0,0,0,0,1,0,0,0,0,Antibiotics,1,56.78,0.75,46.393,10521,35,-0.082,0.289,0.38,0.393,0.22,0.007,0,SRR28741829
49,68,3.378750112,68,0,0,0,0,0,1,0,0,0,0,Antibiotics,1,63.291,1,57.482,17702,39,-0.059,0.316,0.44,0.32,0.173,0.067,0,SRR28741828
50,69,3.527973431,69,0,0,0,0,0,0,1,0,0,0,Fungicide,1,59.664,0.5,73.15,7682,22,-0.063,0.352,0.208,0.315,0.456,0.021,0,SRR28741826
51,71,3.590654208,71,0,0,0,0,0,0,1,0,0,0,Fungicide,1,57.741,0.75,52.401,10688,25,-0.01,0.428,0.18,0.46,0.333,0.027,0,SRR28741825
52,72,3.614620997,72,0,0,0,0,0,0,1,0,0,0,Fungicide,1,60.581,0.5,68.918,5010,24,0.03,0.292,0.147,0.247,0.593,0.013,0,SRR28741824
53,73,3.591479069,73,0,0,0,0,0,0,1,0,0,0,Fungicide,1,61.317,0.75,37.742,8851,18,0.037,0.329,0.067,0.233,0.7,0,0,SRR28741823
54,76,3.593747689,76,0,0,0,0,0,0,1,0,0,0,Fungicide,1,59.2,1,47.08,10187,18,0.017,0.332,0.087,0.473,0.407,0.033,0,SRR28741822
55,78,3.074703619,78,0,0,0,0,0,0,0,1,0,0,Copper,1,56.41,1,26.197,6346,25,0.001,0.169,0.333,0.173,0.48,0.013,0,SRR28741821
56,79,3.23813745,79,0,0,0,0,0,0,0,1,0,0,Copper,1,68.24,0.5,25.938,5845,32,0.019,0.19,0.32,0.187,0.493,0,0,SRR28741820
58,81,3.346978858,81,0,0,0,0,0,0,0,1,0,0,Copper,1,56.522,1.5,33.283,5678,19,0.015,0.173,0.36,0.173,0.467,0,0,SRR28741819
59,82,3.151458941,82,0,0,0,0,0,0,0,1,0,0,Copper,1,54.583,0.5,30.534,5344,19,0.008,0.201,0.36,0.18,0.44,0.02,0,SRR28741818
60,84,3.244779341,84,0,0,0,0,0,0,0,1,0,0,Copper,1,56.356,1,27.916,6346,35,0.01,0.219,0.34,0.2,0.4,0.06,0,SRR28741817
61,86,2.855950058,86,0,0,0,0,0,0,0,0,1,0,Salinity,1,38.272,1,0,3841,36,0.162,0.312,0.78,0.04,0.173,0,0.007,SRR28741814
62,87,2.96205627,87,0,0,0,0,0,0,0,0,1,0,Salinity,1,53.112,0.75,6.12,835,32,0.146,0.302,0.727,0.04,0.227,0.007,0,SRR28741813
63,89,3.064819033,89,0,0,0,0,0,0,0,0,1,0,Salinity,1,52.697,1.5,0,5010,25,0.086,0.284,0.38,0.087,0.533,0,0,SRR28741812
64,92,3.126549234,92,0,0,0,0,0,0,0,0,1,0,Salinity,1,48.498,1,2.505,2505,46,0.09,0.2,0.58,0.08,0.333,0.007,0,SRR28741811
65,94,3.56233143,94,0,0,0,0,0,0,0,0,0,1,Insecticide,1,60.28,1.5,82.803,10020,35,-0.01,0.554,0.273,0.56,0.153,0.013,0,SRR28741810
66,95,3.466434916,95,0,0,0,0,0,0,0,0,0,1,Insecticide,1,56.54,0.5,68.096,7181,35,-0.13,0.369,0.367,0.42,0.193,0.013,0.007,SRR28741809
67,96,3.495602641,96,0,0,0,0,0,0,0,0,0,1,Insecticide,1,61.062,0.5,93.084,6012,26,-0.083,0.4,0.407,0.413,0.16,0.02,0,SRR28741808
68,97,3.506628448,97,0,0,0,0,0,0,0,0,0,1,Insecticide,1,55.466,1,62.746,11857,32,-0.097,0.361,0.427,0.413,0.133,0.027,0,SRR28741807
69,99,3.522086227,99,0,0,0,0,0,0,0,0,0,1,Insecticide,1,58.874,0.5,74.804,10855,37,-0.067,0.292,0.333,0.353,0.253,0.053,0.007,SRR28741806
3,121,3.067921451,121,1,1,1,1,1,1,0,1,1,0,8 factors,8,36.052,11,2.567,1336,25,0.203,0.696,0.867,0.06,0.073,0,0,SRR28741804
4,122,3.068150858,122,1,1,0,1,1,0,1,1,1,1,8 factors,8,38.397,8,3.238,1169,44,0.196,0.362,0.747,0.067,0.167,0.02,0,SRR28741803
5,123,3.04929642,123,1,1,0,1,1,0,1,1,1,1,8 factors,8,43.548,2.5,5.398,1503,28,0.278,0.434,0.793,0.147,0.053,0,0.007,SRR28741802
6,124,3.093469631,124,1,1,1,1,1,1,1,1,0,0,8 factors,8,47.718,6.5,94.781,13026,28,0.065,0.424,0.433,0.14,0.42,0.007,0,SRR28741801
7,125,3.060705553,125,1,1,0,1,1,1,1,1,1,0,8 factors,8,38.431,60,4.226,1670,25,0.125,0.26,0.567,0.167,0.26,0,0.007,SRR28741800
8,126,3.096314785,126,1,0,1,1,1,0,1,1,1,1,8 factors,8,41.667,6,0.819,1837,11,0.288,0.542,0.773,0,0.227,0,0,SRR28741799
9,127,3.376932106,127,0,1,1,1,1,1,1,1,0,1,8 factors,8,64.378,1,100,14028,6,0.027,0.548,0.093,0.113,0.793,0,0,SRR28741798
10,128,3.404874754,128,1,1,1,1,1,1,1,0,0,1,8 factors,8,49.153,45,89.764,7849,16,0.054,0.513,0.327,0.053,0.553,0.053,0.013,SRR28741797
