Sample,Candida theae,Mesorhizobium kowhaii,Xenophilus sp. L33,Candidatus Gallionella acididurans,uncultured bacterium IN-06,Mucilaginibacter sp. OK098,Verrucomicrobium sp. GAS474,Candidatus Peregrinibacteria bacterium CG_4_10_14_0_2_um_filter_38_24,Verrucomicrobia bacterium Tous-C9LFEB,Verrucomicrobia bacterium LW23,Ramlibacter sp. 18x22-1,Tardiphaga sp. vice278,Microvirga thermotolerans,Mesorhizobium loti,Microvirga lupini,uncultured bacterium Bio7,Pinus canariensis,Oxytricha granulifera,Freesia hybrid cultivar,Streptomyces chlorus,clay_depth,sand_depth,silt_depth,pH_depth,coarse_depth,soilclass,soiltemp0to7cm,temp,totalrain,soilwater0to7cm,totalrain_long,temp_long,soiltemp_0_7_long,soilwater_0_7_long,temp_diff,rain_diff,soiltemp0to7cm_diff,soilwater0to7cm_diff,bulk_depth,Habitat,cation_depth,nitro_depth,orgcarbon_depth
2761A,0,53,73,38,0,36,38,0,33,45,23,20,27,122,23,0,0,0,0,0,41.3,36.8,21.8,4.7,0.87,10,26.41,25.74,2.32E-05,0.45,0.000365331,25.36,26.21,0.47,0.377302471,-0.000342144,0.198242813,-0.01346558,1.05,Moist_tropical_forests,14.8,3.31,54.1
AV103,0,32,66,29,0,22,36,1,46,42,11,23,50,111,20,0,0,0,0,0,25.8,47.2,27,4.2,0.24,0,25.27,25.39,0.000428402,0.41,0.000274354,25.41,25.29,0.39,-0.020331301,0.000154048,-0.021521881,0.018912064,1.11,Moist_tropical_forests,26.1,3.92,58.6
AV104,0,36,65,21,0,21,58,0,96,96,16,9,34,111,15,0,0,0,0,0,28.6,43.9,27.5,4.2,0.3,0,25.27,25.39,0.000428402,0.41,0.000274354,25.41,25.29,0.39,-0.020331301,0.000154048,-0.021521881,0.018912064,1.1,Moist_tropical_forests,27.3,4.76,71.9
AV105,0,23,68,30,0,36,69,0,123,115,13,7,26,79,12,0,0,0,0,0,29.9,21.5,48.6,4.5,0.1,0,25.07,25.49,0.000292469,0.45,0.000409935,25.73,25.53,0.44,-0.231461515,-0.000117466,-0.452752616,0.014196817,1.12,Moist_tropical_forests,18,3.66,55.2
AV110,0,33,63,33,0,24,62,0,116,120,16,13,34,120,23,0,0,0,0,0,23.9,51.8,24.3,4.2,0.31,0,25.22,25.38,0.000388625,0.4,0.000248025,25.4,25.25,0.38,-0.021365387,0.0001406,-0.030430271,0.018948213,1.13,Moist_tropical_forests,28.5,3.66,56.2
AV112,0,26,65,21,0,26,59,1,114,95,8,8,34,105,16,0,0,0,0,0,24.6,48.8,26.6,4.2,0.19,0,25.27,25.39,0.000428402,0.41,0.000274354,25.41,25.29,0.39,-0.020331301,0.000154048,-0.021521881,0.018912064,1.12,Moist_tropical_forests,25.6,3.79,65.5
AV114,0,28,27,21,0,10,22,0,38,18,10,4,22,69,20,0,0,0,0,0,30.8,44.5,24.7,4.3,0.31,0,24.94,24.92,0.000505065,0.42,0.000286656,25.23,25.15,0.39,-0.311990905,0.000218409,-0.211833147,0.024125294,1.16,Moist_tropical_forests,23.7,4.29,60.3
AV117,0,40,29,10,0,10,9,1,31,27,4,8,24,75,17,0,0,0,0,0,26.2,43.5,30.3,4.2,0.17,0,24.79,25.18,0.000823074,0.43,0.000465881,25.76,25.66,0.42,-0.570782934,0.000357193,-0.869669421,0.010811954,1.14,Moist_tropical_forests,19.3,3.36,41.5
AV120,0,25,38,19,0,18,31,1,30,34,6,23,21,86,10,0,0,0,0,0,27.7,42.6,29.6,4.2,0.13,0,24.88,25.27,0.000654182,0.43,0.000439805,25.78,25.66,0.42,-0.501461898,0.000214377,-0.773173345,0.011307778,1.14,Moist_tropical_forests,20.1,3.62,39.7
AV125,0,84,45,57,0,147,49,0,127,125,12,26,27,119,17,1,0,0,0,0,33.1,38.3,28.6,5.5,1.33,3,13.6,14.8,0.000506782,0.4,0.000162945,14.84,13.64,0.33,-0.03844073,0.000343837,-0.043216927,0.066603261,0.85,Tropical_montane_forests,31.8,6.12,117.3
AV127,0,122,109,52,0,62,60,1,127,139,10,26,28,97,13,0,0,0,0,0,34.2,32.1,33.7,5.4,0.93,3,15.96,16.28,0.000269155,0.38,0.00015423,16.53,16.12,0.33,-0.251130499,0.000114925,-0.158377555,0.054984066,0.94,Tropical_montane_forests,23.8,5.26,106.1
G2536,0,56,58,34,0,219,32,0,37,32,11,18,14,98,6,1,0,0,0,0,12,49.7,38.3,5.9,1.03,18,24,25.75,2.80E-05,0.3,0.000104915,18.43,18.46,0.29,7.329071986,-7.69E-05,5.539861098,0.008773697,0.6,Temperate_coniferous_forests,33.9,11.99,151
G2538,0,69,73,56,0,255,170,0,373,317,9,22,17,94,7,1,0,0,0,0,13.5,52,34.6,5.7,0.78,23,18.84,17.39,1.72E-05,0.26,0.000110379,18.33,18.39,0.3,-0.937893361,-9.32E-05,0.45446473,-0.04160158,0.59,Temperate_coniferous_forests,41.3,12.26,127.5
G2620,0,106,55,35,0,63,27,0,40,60,18,15,37,109,22,0,0,0,0,0,12.4,53.3,34.4,6.4,0.93,18,15.93,15.37,0.000619384,0.38,0.000123274,16.8,16.88,0.32,-1.422956523,0.00049611,-0.954547497,0.063592153,0.66,Temperate_deciduous_forests,33.9,11.47,82.2
G2629,0,66,124,55,0,234,90,1,108,117,15,30,29,100,6,0,0,1,0,0,17.4,42.3,40.2,5.1,1.03,12,15.35,14.14,0.000478337,0.39,0.000135864,17.1,17.5,0.28,-2.954158901,0.000342473,-2.152117445,0.110011262,0.61,Temperate_deciduous_forests,35.3,10,184.1
