SIM G1 G2 G3 G4 G5 G6 G7 G8 G9 G10
SIM1 GCF_900476505.1_cds_from_genomic.fna.gz GCF_002887145.1_cds_from_genomic.fna.gz GCF_003325975.1_cds_from_genomic.fna.gz GCF_003018935.1_cds_from_genomic.fna.gz GCF_009763045.1_cds_from_genomic.fna.gz GCF_009738145.1_cds_from_genomic.fna.gz GCF_002214765.1_cds_from_genomic.fna.gz GCF_000954175.1_cds_from_genomic.fna.gz GCF_003814345.1_cds_from_genomic.fna.gz GCF_006517075.1_cds_from_genomic.fna.gz
SIM2 GCF_000769575.1_cds_from_genomic.fna.gz GCF_003264295.1_cds_from_genomic.fna.gz GCF_002859505.1_cds_from_genomic.fna.gz GCF_900636835.1_cds_from_genomic.fna.gz GCF_009912735.1_cds_from_genomic.fna.gz GCF_001682305.2_cds_from_genomic.fna.gz GCF_002055855.1_cds_from_genomic.fna.gz GCF_001683135.1_cds_from_genomic.fna.gz GCF_001484025.1_cds_from_genomic.fna.gz GCF_002741175.1_cds_from_genomic.fna.gz
SIM3 GCF_001042815.1_cds_from_genomic.fna.gz GCF_001042875.1_cds_from_genomic.fna.gz GCF_900635725.1_cds_from_genomic.fna.gz GCF_000953615.1_cds_from_genomic.fna.gz GCF_002777275.1_cds_from_genomic.fna.gz GCF_001548315.1_cds_from_genomic.fna.gz GCF_002906435.1_cds_from_genomic.fna.gz GCF_002381265.1_cds_from_genomic.fna.gz GCF_000008205.1_cds_from_genomic.fna.gz GCF_000092545.1_cds_from_genomic.fna.gz
SIM4 GCF_009909325.1_cds_from_genomic.fna.gz GCF_011331215.1_cds_from_genomic.fna.gz GCF_001901445.1_cds_from_genomic.fna.gz GCF_009729975.1_cds_from_genomic.fna.gz GCF_003956425.1_cds_from_genomic.fna.gz GCF_001612495.1_cds_from_genomic.fna.gz GCF_900119955.1_cds_from_genomic.fna.gz GCF_000070605.1_cds_from_genomic.fna.gz GCF_000286795.1_cds_from_genomic.fna.gz GCF_000829885.1_cds_from_genomic.fna.gz
SIM5 GCF_003030365.1_cds_from_genomic.fna.gz GCF_001890165.1_cds_from_genomic.fna.gz GCF_006351785.1_cds_from_genomic.fna.gz GCF_004919305.1_cds_from_genomic.fna.gz GCF_003017995.1_cds_from_genomic.fna.gz GCF_004224885.1_cds_from_genomic.fna.gz GCF_009176765.1_cds_from_genomic.fna.gz GCF_009913395.1_cds_from_genomic.fna.gz GCF_002749475.1_cds_from_genomic.fna.gz GCF_000789315.1_cds_from_genomic.fna.gz
SIM6 GCF_900186855.1_cds_from_genomic.fna.gz GCF_001675245.1_cds_from_genomic.fna.gz GCF_000284355.1_cds_from_genomic.fna.gz GCF_001752865.1_cds_from_genomic.fna.gz GCF_009942395.1_cds_from_genomic.fna.gz GCF_006517795.1_cds_from_genomic.fna.gz GCF_002011985.1_cds_from_genomic.fna.gz GCF_001717975.2_cds_from_genomic.fna.gz GCF_002446955.1_cds_from_genomic.fna.gz GCF_009834305.1_cds_from_genomic.fna.gz
SIM7 GCF_002951775.1_cds_from_genomic.fna.gz GCF_002996885.1_cds_from_genomic.fna.gz GCF_002214085.1_cds_from_genomic.fna.gz GCF_001558355.2_cds_from_genomic.fna.gz GCF_003324715.1_cds_from_genomic.fna.gz GCF_003010655.1_cds_from_genomic.fna.gz GCF_002952495.1_cds_from_genomic.fna.gz GCF_009664815.1_cds_from_genomic.fna.gz GCF_002906875.1_cds_from_genomic.fna.gz GCF_002269175.1_cds_from_genomic.fna.gz
SIM8 GCF_000068525.2_cds_from_genomic.fna.gz GCF_000253395.1_cds_from_genomic.fna.gz GCF_000019425.1_cds_from_genomic.fna.gz GCF_001506845.1_cds_from_genomic.fna.gz GCF_000010305.1_cds_from_genomic.fna.gz GCF_003956205.1_cds_from_genomic.fna.gz GCF_900474525.1_cds_from_genomic.fna.gz GCF_009763825.1_cds_from_genomic.fna.gz GCF_005164885.1_cds_from_genomic.fna.gz GCF_001690005.1_cds_from_genomic.fna.gz
SIM9 GCF_003390995.1_cds_from_genomic.fna.gz GCF_001188935.1_cds_from_genomic.fna.gz GCF_003339545.1_cds_from_genomic.fna.gz GCF_012224905.1_cds_from_genomic.fna.gz GCF_004919445.1_cds_from_genomic.fna.gz GCF_900324315.1_cds_from_genomic.fna.gz GCF_003571625.1_cds_from_genomic.fna.gz GCF_001889385.1_cds_from_genomic.fna.gz GCF_000019265.1_cds_from_genomic.fna.gz GCF_002191455.1_cds_from_genomic.fna.gz
SIM10 GCF_002848485.1_cds_from_genomic.fna.gz GCF_001293145.1_cds_from_genomic.fna.gz GCF_001969285.3_cds_from_genomic.fna.gz GCF_001865435.1_cds_from_genomic.fna.gz GCF_003019095.1_cds_from_genomic.fna.gz GCF_002163735.1_cds_from_genomic.fna.gz GCF_900474535.1_cds_from_genomic.fna.gz GCF_002848465.1_cds_from_genomic.fna.gz GCF_011463995.1_cds_from_genomic.fna.gz GCF_000014985.1_cds_from_genomic.fna.gz
